,Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
1735,14-01-2021,Women's Street Footwear,Northeast,Amazon,In-store,Massachusetts,35,1138,33
1736,18-04-2021,Women's Street Footwear,Northeast,Amazon,In-store,New Hampshire,40,1000,25
1737,17-03-2021,Women's Street Footwear,Northeast,Amazon,In-store,New Hampshire,40,1200,30
1738,17-05-2021,Women's Street Footwear,Northeast,Amazon,In-store,New Hampshire,55,1788,33
1739,19-06-2021,Women's Street Footwear,Northeast,Amazon,In-store,New Hampshire,55,1925,35
1740,19-02-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,40,1200,30
1741,21-01-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,40,1300,33
1742,11-04-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,35,788,23
1743,10-03-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,35,963,28
1744,10-09-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,50,1125,23
1745,10-05-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,50,1500,30
1746,12-06-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,50,1625,33
1747,10-07-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,50,1750,35
1748,11-08-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,50,1750,35
1749,12-10-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,60,1200,20
1750,10-12-2021,Women's Street Footwear,Northeast,Amazon,In-store,Vermont,60,2250,38
1751,10-01-2021,Men's Apparel,Northeast,Foot Locker,In-store,Connecticut,45,563,13
1752,04-11-2021,Men's Apparel,Northeast,Foot Locker,In-store,Connecticut,65,1625,25
1753,03-12-2021,Men's Apparel,Northeast,Foot Locker,In-store,Connecticut,65,1950,30
1754,14-04-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,50,750,15
1755,13-03-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,50,875,18
1756,15-02-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,50,1125,23
1757,13-09-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,55,1100,20
1758,14-08-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,55,1238,23
1759,13-05-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,55,1513,28
1760,15-06-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,55,1650,30
1761,13-07-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,55,1788,33
1762,15-10-2021,Men's Apparel,Northeast,Foot Locker,In-store,Delaware,65,1138,18
1763,22-06-2021,Men's Apparel,Northeast,Foot Locker,In-store,Maryland,50,750,15
1764,17-01-2021,Men's Apparel,Northeast,Foot Locker,In-store,Maryland,50,1125,23
1765,22-10-2021,Men's Apparel,Northeast,Foot Locker,In-store,Maryland,60,450,8
1766,21-11-2021,Men's Apparel,Northeast,Foot Locker,In-store,Maryland,60,750,13
1767,20-12-2021,Men's Apparel,Northeast,Foot Locker,In-store,Maryland,60,1050,18
1768,07-04-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,45,225,5
1769,06-03-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,45,338,8
1770,08-02-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,45,563,13
1771,06-09-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,50,500,10
1772,07-08-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,50,625,13
1773,06-05-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,50,875,18
1774,08-06-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,50,1000,20
1775,06-07-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,50,1125,23
1776,08-10-2021,Men's Apparel,Northeast,Foot Locker,In-store,Rhode Island,60,450,8
1777,24-01-2021,Men's Apparel,Northeast,Foot Locker,In-store,West Virginia,45,563,13
1778,17-11-2021,Men's Apparel,Northeast,Foot Locker,In-store,West Virginia,65,1950,30
1779,16-12-2021,Men's Apparel,Northeast,Foot Locker,In-store,West Virginia,65,2275,35
1780,08-02-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,35,438,13
1781,10-01-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,35,788,23
1782,04-11-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,55,1650,30
1783,03-12-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,55,2063,38
1784,14-04-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,40,900,23
1785,13-03-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,40,1000,25
1786,13-05-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,50,1375,28
1787,13-09-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,50,1625,33
1788,15-06-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,50,2000,40
1789,13-07-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,50,2125,43
1790,14-08-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,50,2125,43
1791,15-10-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,55,1650,30
1792,15-02-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,40,900,23
1793,17-01-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,40,1300,33
1794,21-11-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,50,875,18
1795,20-12-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,50,1250,25
1796,07-04-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,35,438,13
1797,06-03-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,35,525,15
1798,06-05-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,45,788,18
1799,06-09-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,45,1013,23
1800,08-06-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,45,1350,30
1801,06-07-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,45,1463,33
1802,07-08-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,45,1463,33
1803,08-10-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,1000,20
1804,24-01-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,West Virginia,35,788,23
1805,17-11-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,West Virginia,35,1225,35
1806,16-12-2021,Men's Athletic Footwear,Northeast,Foot Locker,In-store,West Virginia,55,2475,45
1807,10-01-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,35,1488,43
1808,08-02-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,35,1663,48
1809,04-11-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,65,2763,43
1810,03-12-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,65,3738,58
1811,14-04-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,40,2100,53
1812,13-03-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,40,2180,55
1813,13-09-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,55,2888,53
1814,13-05-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,55,3135,57
1815,15-06-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,55,3575,65
1816,14-08-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,55,3575,65
1817,13-07-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,55,3713,68
1818,15-10-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Delaware,60,2850,48
1819,17-01-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Maryland,40,2100,53
1820,15-02-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Maryland,40,2300,58
1821,20-07-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Maryland,50,2625,53
1822,21-11-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Maryland,60,2100,35
1823,20-12-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Maryland,60,2700,45
1824,07-04-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,35,1488,43
1825,06-03-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,35,1558,45
1826,06-09-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,2125,43
1827,06-05-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,2350,47
1828,08-06-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,2750,55
1829,07-08-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,2750,55
1830,06-07-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,2875,58
1831,08-10-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,55,2063,38
1832,24-01-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,West Virginia,35,1488,43
1833,22-02-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,West Virginia,35,1663,48
1834,17-11-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,West Virginia,45,2025,45
1835,16-12-2021,Men's Street Footwear,Northeast,Foot Locker,In-store,West Virginia,65,4225,65
1836,05-10-2021,Women's Apparel,Northeast,Foot Locker,In-store,Connecticut,70,1925,28
1837,04-11-2021,Women's Apparel,Northeast,Foot Locker,In-store,Connecticut,70,2450,35
1838,03-12-2021,Women's Apparel,Northeast,Foot Locker,In-store,Connecticut,70,2800,40
1839,10-01-2021,Women's Apparel,Northeast,Foot Locker,In-store,Connecticut,35,788,23
1840,13-03-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,40,1100,28
1841,14-04-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,40,1200,30
1842,15-02-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,40,1300,33
1843,13-09-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,60,1800,30
1844,13-05-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,60,2400,40
1845,14-08-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,60,2400,40
1846,15-06-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,60,2700,45
1847,13-07-2021,Women's Apparel,Northeast,Foot Locker,In-store,Delaware,60,3000,50
1848,22-06-2021,Women's Apparel,Northeast,Foot Locker,In-store,Maryland,55,1650,30
1849,22-10-2021,Women's Apparel,Northeast,Foot Locker,In-store,Maryland,65,1300,20
1850,21-11-2021,Women's Apparel,Northeast,Foot Locker,In-store,Maryland,65,1463,23
1851,20-12-2021,Women's Apparel,Northeast,Foot Locker,In-store,Maryland,65,1788,28
1852,17-01-2021,Women's Apparel,Northeast,Foot Locker,In-store,Maryland,40,1300,33
1853,06-03-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,35,613,18
1854,07-04-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,35,700,20
1855,08-02-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,35,788,23
1856,06-09-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,55,1100,20
1857,06-05-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,55,1650,30
1858,07-08-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,55,1650,30
1859,08-06-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,55,1925,35
1860,06-07-2021,Women's Apparel,Northeast,Foot Locker,In-store,Rhode Island,55,2200,40
1861,24-01-2021,Women's Apparel,Northeast,Foot Locker,In-store,West Virginia,35,788,23
1862,17-10-2021,Women's Apparel,Northeast,Foot Locker,In-store,West Virginia,50,1500,30
1863,17-11-2021,Women's Apparel,Northeast,Foot Locker,In-store,West Virginia,70,2800,40
1864,16-12-2021,Women's Apparel,Northeast,Foot Locker,In-store,West Virginia,70,3150,45
1865,04-11-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,55,1513,28
1866,03-12-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,55,1650,30
1867,10-01-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Connecticut,30,225,8
1868,13-03-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,35,438,13
1869,15-02-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,35,525,15
1870,14-04-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,35,525,15
1871,13-09-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,45,900,20
1872,13-05-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,45,1125,25
1873,14-08-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,45,1125,25
1874,15-06-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,45,1350,30
1875,13-07-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,45,1350,30
1876,15-10-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Delaware,55,963,18
1877,22-06-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,40,600,15
1878,22-10-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,50,375,8
1879,21-11-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,50,750,15
1880,20-12-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,50,875,18
1881,17-01-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Maryland,35,613,18
1882,06-03-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,30,75,3
1883,08-02-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,30,150,5
1884,07-04-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,30,150,5
1885,06-09-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,400,10
1886,06-05-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,600,15
1887,07-08-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,600,15
1888,08-06-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,800,20
1889,06-07-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,800,20
1890,08-10-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,375,8
1891,24-01-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,West Virginia,30,225,8
1892,17-11-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,West Virginia,40,1300,33
1893,16-12-2021,Women's Athletic Footwear,Northeast,Foot Locker,In-store,West Virginia,55,1925,35
1894,04-11-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,55,1623,30
1895,03-12-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,55,1925,35
1896,08-02-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,25,438,18
1897,10-01-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Connecticut,25,563,23
1898,14-04-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,30,675,23
1899,13-03-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,30,825,28
1900,13-09-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,45,1013,23
1901,13-05-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,45,1350,30
1902,15-06-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,45,1463,33
1903,13-07-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,45,1575,35
1904,14-08-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,45,1575,35
1905,15-10-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Delaware,55,1100,20
1906,22-06-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Maryland,40,700,18
1907,21-11-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Maryland,50,850,17
1908,20-12-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Maryland,50,1125,23
1909,15-02-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Maryland,30,825,28
1910,17-01-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Maryland,30,975,33
1911,07-04-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,25,313,13
1912,06-03-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,25,438,18
1913,06-09-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,500,13
1914,06-05-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,800,20
1915,08-06-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,900,23
1916,06-07-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,1000,25
1917,07-08-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,40,1000,25
1918,08-10-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,Rhode Island,50,500,10
1919,24-01-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,West Virginia,25,563,23
1920,17-11-2021,Women's Street Footwear,Northeast,Foot Locker,In-store,West Virginia,35,1033,30
1921,10-01-2021,Men's Apparel,Northeast,Kohl's,In-store,Delaware,45,788,18
1922,14-11-2021,Men's Apparel,Northeast,Kohl's,In-store,Delaware,65,1788,28
1923,13-12-2021,Men's Apparel,Northeast,Kohl's,In-store,Delaware,65,2113,33
1924,07-04-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,45,450,10
1925,06-03-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,45,563,13
1926,08-02-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,45,788,18
1927,06-09-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,50,750,15
1928,07-08-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,50,875,18
1929,06-05-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,50,1125,23
1930,08-06-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,50,1250,25
1931,06-07-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,50,1375,28
1932,08-10-2021,Men's Apparel,Northeast,Kohl's,In-store,New Jersey,60,750,13
1933,14-01-2021,Men's Apparel,Northeast,Kohl's,In-store,New York,50,2500,50
1934,08-12-2021,Men's Apparel,Northeast,Kohl's,In-store,New York,65,3738,58
1935,08-02-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,35,613,18
1936,10-01-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,35,963,28
1937,14-11-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,55,1788,33
1938,13-12-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,55,2200,40
1939,07-04-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,35,613,18
1940,06-03-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,35,700,20
1941,06-05-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,45,1013,23
1942,06-09-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,45,1238,28
1943,08-06-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,45,1575,35
1944,06-07-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,45,1688,38
1945,07-08-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,45,1688,38
1946,08-10-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,50,1250,25
1947,12-02-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New York,40,2000,50
1948,14-01-2021,Men's Athletic Footwear,Northeast,Kohl's,In-store,New York,40,2400,60
1949,10-01-2021,Men's Street Footwear,Northeast,Kohl's,In-store,Delaware,35,1663,48
1950,08-02-2021,Men's Street Footwear,Northeast,Kohl's,In-store,Delaware,35,1838,53
1951,14-11-2021,Men's Street Footwear,Northeast,Kohl's,In-store,Delaware,65,2925,45
1952,13-12-2021,Men's Street Footwear,Northeast,Kohl's,In-store,Delaware,65,3900,60
1953,07-04-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,35,1663,48
1954,06-03-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,35,1733,50
1955,06-09-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,50,2375,48
1956,06-05-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,50,2600,52
1957,08-06-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,50,3000,60
1958,07-08-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,50,3000,60
1959,06-07-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,50,3125,63
1960,08-10-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New Jersey,55,2338,43
1961,14-01-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New York,40,3200,80
1962,12-02-2021,Men's Street Footwear,Northeast,Kohl's,In-store,New York,40,3400,85
1963,10-01-2021,Women's Apparel,Northeast,Kohl's,In-store,Delaware,35,963,28
1964,15-10-2021,Women's Apparel,Northeast,Kohl's,In-store,Delaware,70,2100,30
1965,14-11-2021,Women's Apparel,Northeast,Kohl's,In-store,Delaware,70,2625,38
1966,13-12-2021,Women's Apparel,Northeast,Kohl's,In-store,Delaware,70,2975,43
1967,06-03-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,35,788,23
1968,07-04-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,35,875,25
1969,08-02-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,35,963,28
1970,06-09-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,55,1375,25
1971,06-05-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,55,1925,35
1972,07-08-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,55,1925,35
1973,08-06-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,55,2200,40
1974,06-07-2021,Women's Apparel,Northeast,Kohl's,In-store,New Jersey,55,2475,45
1975,14-01-2021,Women's Apparel,Northeast,Kohl's,In-store,New York,40,2400,60
1976,08-12-2021,Women's Apparel,Northeast,Kohl's,In-store,New York,70,4725,68
1977,10-01-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,30,375,13
1978,14-11-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,55,1650,30
1979,13-12-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,Delaware,55,1788,33
1980,06-03-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,30,225,8
1981,08-02-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,30,300,10
1982,07-04-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,30,300,10
1983,06-09-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,40,600,15
1984,06-05-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,40,800,20
1985,07-08-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,40,800,20
1986,08-06-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,40,1000,25
1987,06-07-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,40,1000,25
1988,08-10-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New Jersey,50,625,13
1989,08-12-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New York,55,3163,58
1990,14-01-2021,Women's Athletic Footwear,Northeast,Kohl's,In-store,New York,35,1575,45
1991,08-02-2021,Women's Street Footwear,Northeast,Kohl's,In-store,Delaware,25,563,23
1992,10-01-2021,Women's Street Footwear,Northeast,Kohl's,In-store,Delaware,25,688,28
1993,14-11-2021,Women's Street Footwear,Northeast,Kohl's,In-store,Delaware,55,1760,32
1994,13-12-2021,Women's Street Footwear,Northeast,Kohl's,In-store,Delaware,55,2063,38
1995,07-04-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,25,438,18
1996,06-03-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,25,563,23
1997,06-09-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,40,700,18
1998,06-05-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,40,1000,25
1999,08-06-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,40,1100,28
2000,06-07-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,40,1200,30
2001,07-08-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,40,1200,30
2002,08-10-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New Jersey,50,750,15
2003,08-12-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New York,55,3438,63
2004,12-02-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New York,30,1650,55
2005,14-01-2021,Women's Street Footwear,Northeast,Kohl's,In-store,New York,30,1800,60
2006,04-04-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,50,625,13
2007,03-03-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,50,750,15
2008,05-02-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,50,1000,20
2009,03-09-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,55,963,18
2010,04-08-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,55,1100,20
2011,03-05-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,55,1375,25
2012,05-06-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,55,1513,28
2013,03-07-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,55,1650,30
2014,05-10-2021,Men's Apparel,Northeast,Sports Direct,In-store,Connecticut,65,975,15
2015,20-09-2021,Men's Apparel,Northeast,Sports Direct,In-store,Maryland,50,500,10
2016,21-08-2021,Men's Apparel,Northeast,Sports Direct,In-store,Maryland,50,625,13
2017,20-07-2021,Men's Apparel,Northeast,Sports Direct,In-store,Maryland,50,875,18
2018,13-03-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,50,500,10
2019,14-04-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,50,625,13
2020,15-02-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,50,750,15
2021,13-09-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,55,688,13
2022,14-08-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,55,825,15
2023,13-05-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,55,1100,20
2024,15-06-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,55,1238,23
2025,13-07-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,55,1375,25
2026,15-10-2021,Men's Apparel,Northeast,Sports Direct,In-store,Massachusetts,65,650,10
